Minima;;;;Maxima
Sample;Phase [h];milliVolt [mV];;Sample;Phase [h];milliVolt [mV]
1;14.0;6.335356105672104;;1;2.0;6.692478148251771
;14.0;6.692478148251771;;;1.0;6.603988875524498
;12.0;6.603988875524498;;;16.0;5.985677540792562
;17.0;5.985677540792562;;;4.0;6.034913922494193
;15.0;6.034913922494193;;;9.0;6.214242845154865
;11.0;6.214242845154865;;;9.0;6.2168913170163345
;9.0;6.2168913170163345;;;0.0;6.2168913170163345
2;14.0;5.612755327117324;;2;3.0;6.539241806060628
;16.0;6.539241806060628;;;2.0;6.301319931002352
;14.0;6.301319931002352;;;2.0;5.826989037296056
;17.0;5.826989037296056;;;5.0;5.958122958974378
;15.0;5.958122958974378;;;11.0;6.074079877122895
;11.0;6.074079877122895;;;11.0;5.964806402264419
;11.0;5.964806402264419;;;0.0;5.964806402264419
3;14.0;4.69295937373737;;3;1.0;5.048794040792557
;15.0;5.048794040792557;;;2.0;5.196348003330021
;16.0;5.196348003330021;;;7.0;5.254794684796702
;16.0;5.254794684796702;;;4.0;4.93350649417251
;15.0;4.93350649417251;;;8.0;5.111249002664019
;11.0;5.111249002664019;;;9.0;5.169754053613068
;11.0;5.169754053613068;;;0.0;5.169754053613068
4;14.0;5.65247883527584;;4;2.0;6.24566594032636
;16.0;6.24566594032636;;;3.0;6.44143600732603
;16.0;6.44143600732603;;;3.0;5.885676798756819
;19.0;5.885676798756819;;;5.0;5.635810565034984
;15.0;5.635810565034984;;;9.0;5.769149723942744
;11.0;5.769149723942744;;;3.0;5.7206198251748415
;11.0;5.7206198251748415;;;0.0;5.7206198251748415
5;14.0;5.612153554778561;;5;1.0;5.9060652960373154
;15.0;5.9060652960373154;;;2.0;6.403145915047937
;16.0;6.403145915047937;;;12.0;6.396973253080276
;11.0;6.396973253080276;;;2.0;5.838966089160859
;15.0;5.838966089160859;;;9.0;6.084980354670991
;12.0;6.084980354670991;;;9.0;6.129728319513838
;11.0;6.129728319513838;;;0.0;6.129728319513838
6;14.0;6.364314099456098;;6;1.0;6.662250063403285
;16.0;6.662250063403285;;;4.0;6.811090463869485
;17.0;6.811090463869485;;;5.0;6.522212991009011
;18.0;6.522212991009011;;;11.0;6.661279723076943
;11.0;6.661279723076943;;;9.0;6.444137764568786
;9.0;6.444137764568786;;;6.0;6.240472622377641
;5.0;6.240472622377641;;;--
;0.0;5.583096787878787;;;--
7;14.0;6.108283105672105;;7;1.0;6.485553710955732
;15.0;6.485553710955732;;;2.0;6.2976973851981555
;17.0;6.2976973851981555;;;11.0;6.312933681318703
;11.0;6.312933681318703;;;11.0;6.241733204231687
;10.0;6.241733204231687;;;15.0;6.217120660672681
;4.0;6.217120660672681;;;7.0;6.1787160559440775
;5.0;6.1787160559440775;;;--
;0.0;5.314212725718725;;;--
8;14.0;7.37362345687646;;8;1.0;7.588214766122792
;15.0;7.588214766122792;;;2.0;7.509986404817432
;15.0;7.509986404817432;;;5.0;7.4431068583916336
;17.0;7.4431068583916336;;;11.0;7.477636096736623
;7.0;7.477636096736623;;;12.0;7.394679280497306
;3.0;7.394679280497306;;;9.0;7.344425139393964
;2.0;7.344425139393964;;;--
9;13.0;7.096491504662004;;9;1.0;7.468256899766925
;15.0;7.468256899766925;;;4.0;7.512819645687671
;17.0;7.512819645687671;;;1.0;7.332885944988369
;15.0;7.332885944988369;;;3.0;7.1386017948718195
;16.0;7.1386017948718195;;;7.0;6.940015163947187
;19.0;6.940015163947187;;;9.0;7.050002884615408
;3.0;7.050002884615408;;;--
;0.0;6.503794924630924;;;--
10;13.0;6.806823423076925;;10;22.0;6.806823423076925
;17.0;7.182390459984483;;;2.0;7.182390459984483
;16.0;7.144824042890467;;;3.0;7.144824042890467
;19.0;6.877290290598315;;;1.0;6.877290290598315
;12.0;7.337469350427376;;;13.0;7.337469350427376
;3.0;7.064541938616961;;;18.0;7.064541938616961
;21.0;6.7620283554778595;;;10.0;6.7620283554778595
11;14.0;7.662907411810418;;11;1.0;7.463670778554805
;15.0;7.463670778554805;;;4.0;7.733828231768258
;14.0;7.733828231768258;;;2.0;7.714136870462897
;14.0;7.714136870462897;;;3.0;7.888367787878816
;11.0;7.888367787878816;;;21.0;8.259051686713315
;7.0;8.259051686713315;;;21.0;8.286801347319377
;10.0;8.286801347319377;;;--
12;14.0;7.080203405594408;;12;1.0;7.204182384149209
;16.0;7.204182384149209;;;4.0;7.270331148717974
;14.0;7.270331148717974;;;2.0;7.458079206682231
;13.0;7.458079206682231;;;2.0;7.663363008547034
;11.0;7.663363008547034;;;22.0;7.866053451748277
;10.0;7.866053451748277;;;20.0;8.032018655788681
;11.0;8.032018655788681;;;--
13;14.0;7.296462425019428;;13;1.0;7.396075362237786
;16.0;7.396075362237786;;;4.0;7.477673320279744
;14.0;7.477673320279744;;;2.0;7.669375242424267
;13.0;7.669375242424267;;;1.0;7.804885081585105
;11.0;7.804885081585105;;;2.0;8.069460569541596
;9.0;8.069460569541596;;;1.0;8.325204033966061
;10.0;8.325204033966061;;;0.0;8.325204033966061
14;13.0;6.515391909090912;;14;1.0;6.677935814452238
;16.0;6.677935814452238;;;3.0;6.737955055944081
;15.0;6.737955055944081;;;3.0;6.904678236829862
;14.0;6.904678236829862;;;2.0;7.009347170940195
;11.0;7.009347170940195;;;22.0;7.199859237762262
;9.0;7.199859237762262;;;0.0;7.37810223310026
;9.0;7.37810223310026;;;--
15;13.0;7.379154714452213;;15;1.0;7.5471142452214695
;16.0;7.5471142452214695;;;3.0;7.602993312354337
;15.0;7.602993312354337;;;3.0;7.829762808857834
;13.0;7.829762808857834;;;2.0;7.922356719813547
;12.0;7.922356719813547;;;22.0;8.046455043512069
;9.0;8.046455043512069;;;0.0;8.274606979021007
;9.0;8.274606979021007;;;--
16;13.0;5.587672700466202;;16;2.0;6.016157655011676
;15.0;6.016157655011676;;;2.0;6.058684992074614
;14.0;6.058684992074614;;;2.0;6.131218936396957
;14.0;6.131218936396957;;;4.0;6.245602518814539
;14.0;6.245602518814539;;;9.0;6.432617618881142
;9.0;6.432617618881142;;;3.0;6.425660281468553
