26.07.2016	13:30:00
h	°C	1	2	3	4
0,00000	26,4	6,88477	7,65137	7,92969	7,24121
0,00278	26,4	6,88477	7,64648	7,92480	7,22656
0,00556	26,4	6,88477	7,64160	7,91992	7,22168
0,00834	26,4	6,87500	7,64648	7,91992	7,21191
0,01112	26,3	6,86035	7,63184	7,91992	7,20703
0,01390	26,3	6,84570	7,62695	7,91016	7,20703
0,01668	26,3	6,82129	7,62207	7,91016	7,19727
0,01946	26,3	6,80176	7,61719	7,90527	7,18750
0,02224	26,3	6,77734	7,61230	7,91016	7,17773
0,02502	26,2	6,74805	7,60742	7,91016	7,17285
0,02780	26,2	6,71875	7,59766	7,91016	7,15820
0,03058	26,2	6,69434	7,58789	7,90527	7,14355
0,03336	26,2	6,66016	7,57813	7,90039	7,12891
0,03614	26,2	6,63574	7,57324	7,90039	7,11426
0,03892	26,1	6,60645	7,56348	7,90039	7,09961
0,04170	26,1	6,56250	7,55371	7,90039	7,08008
0,04448	26,1	6,53809	7,53906	7,89063	7,05566
0,04726	26,1	6,50391	7,53906	7,89063	7,04102
0,05004	26,0	6,47461	7,53418	7,90039	7,02148
0,05282	26,0	6,43555	7,51953	7,89063	6,99707
0,05560	26,0	6,39648	7,50977	7,89551	6,98242
0,05838	26,0	6,35254	7,50000	7,89063	6,96777
0,06116	26,0	6,32324	7,49023	7,88086	6,94336
0,06394	25,9	6,27930	7,48047	7,88574	6,92383
0,06672	25,9	6,24512	7,47559	7,88574	6,90430
0,06950	25,9	6,20117	7,46094	7,88086	6,88477
0,07228	25,9	6,17188	7,45605	7,88086	6,87500
0,07506	25,9	6,13281	7,44629	7,88086	6,86523
0,07784	25,8	6,08887	7,42676	7,87598	6,83594
0,08062	25,8	6,04980	7,42188	7,87109	6,82617
0,08340	25,8	6,01563	7,41211	7,87109	6,80664
0,08618	25,8	5,97168	7,40234	7,87109	6,79688
0,08896	25,8	5,93750	7,39258	7,87109	6,78711
0,09174	25,8	5,88867	7,38281	7,86621	6,76758
0,09452	25,8	5,84961	7,37305	7,86133	6,74805
0,09730	25,8	5,81543	7,36816	7,87109	6,73340
0,10008	25,8	5,77148	7,35352	7,86133	6,72363
0,10286	25,8	5,73242	7,34375	7,86621	6,71875
0,10564	25,7	5,68848	7,33887	7,86621	6,70898
0,10842	25,7	5,64941	7,32910	7,86133	6,69922
0,11120	25,7	5,62500	7,31445	7,86133	6,68457
0,11398	25,7	5,59082	7,30469	7,85156	6,67480
0,11676	25,7	5,55176	7,29980	7,86133	6,66992
0,11954	25,6	5,51758	7,29004	7,86133	6,66992
0,12232	25,7	5,48340	7,28516	7,85156	6,65039
0,12510	25,6	5,44922	7,27539	7,86133	6,64063
0,12788	25,6	5,41016	7,26563	7,86133	6,64551
