Minimum
Sample;Phase;milliVolt
PhT64_32_2020-01-21_13-37-16
1;20;3,439457500000001
;20;3,2031308571428574
;20;3,5973350000000006
;19;3,577518750000001
;20;3,433458000000001
;19;3,3011515000000005
;17;3,178790461538462
2;20;3,2837976000000006
;20;3,099290333333334
;21;3,4617272
;20;3,5268633333333335
;20;3,441833428571429
;20;3,368009666666666
;18;3,179518363636363
3;21;3,0744689999999997
;20;2,7010153333333324
;21;3,135943199999999
;20;3,2238009999999986
;20;3,168301333333332
;20;3,104218285714285
;18;2,8710994545454542
4;20;3,0323840000000004
;20;2,835769666666667
;21;3,1484320000000006
;20;3,23974
;20;3,1539653333333333
;20;3,1202736666666673
;19;2,941508222222222
5;20;2,8581559999999993
;20;2,6242219999999987
;21;3,0980483999999993
;20;3,0297876666666657
;20;2,83580057142857
;19;2,7314473333333327
;15;2,6218425882352934
6;20;3,133789000000001
;20;2,9368493333333348
;21;3,362500400000001
;20;3,3707683333333343
;20;3,2124717142857153
;19;3,0596922500000012
;17;2,908278923076924
7;1;0,985352000000001
;5;1,2060533333333339
;6;2,3862310000000004
;9;4,698892000000001
;10;5,656981999999999
;12;6,610839
8;18;1,0949063636363634
;1;1,0869172000000005
;5;1,244794
;7;2,5667353333333334
;9;4,7973669999999995
;10;5,9646025
;12;7,0153835
9;16;1,1898397999999992
;1;1,1654219999999995
;5;1,3642539999999994
;7;2,707676666666666
;9;5,187493333333332
;10;6,232662499999999
;12;7,246334
10;18;1,0038063999999998
;1;0,9953103999999996
;5;1,1868466666666666
;7;2,4990213333333333
;9;4,867672000000001
;11;5,921545999999999
;13;7,0113259999999995
11;15;1,0620774285714283
;1;1,0746039999999994
;5;1,2161426666666664
;6;2,49902
;9;5,041338666666666
;10;6,1389119999999995
;12;7,1511195
12;17;1,146728166666666
;1;1,1064467999999992
;5;1,3304046666666662
;6;2,4482429999999993
;9;4,773437999999999
;10;5,7080079999999995
;12;6,724365499999999
13;17;1,269121999999999
;1;1,265621199999999
;4;1,146724999999999
;6;1,7773409999999992
;8;3,9374969999999996
;10;5,223630666666666
;12;6,322995499999999
14;17;1,1232971666666678
;1;1,1492260000000007
;5;1,0657606666666677
;6;1,695318000000001
;9;3,649909000000001
;10;4,923589500000001
;12;6,022710000000002
15;19;1,3613331111111109
;1;1,3478572
;5;1,195644
;6;1,9165109999999999
;8;3,978519
;10;5,176111333333333
;12;6,2036180000000005
16;18;1,3350567999999998
;1;1,3185523999999993
